n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
790000,8,9,8,8,8,9,8,8,8,8,9,9,8,9,9,9,8,9,8,9,10,9,9,9,9,9,9,9,10,8,9,9,8,8,9,9,9,10,9,9,8,8,8,9,9,9,8,8,8,9
800000,10,9,9,9,8,9,9,9,9,9,9,8,8,9,8,9,9,8,9,8,10,9,8,9,9,9,9,10,9,8,9,9,8,9,8,10,8,9,9,10,8,8,8,9,8,10,10,8,9,8
810000,9,9,8,9,8,8,9,8,9,9,8,9,8,8,9,8,9,8,9,10,8,9,8,9,9,9,9,9,9,8,9,8,8,9,9,8,8,10,9,8,8,8,8,9,9,8,9,9,8,9
820000,9,9,9,9,9,8,9,8,10,8,9,9,8,8,9,9,8,9,9,9,8,8,9,8,8,9,8,10,8,9,10,8,10,8,9,9,10,9,8,8,9,9,9,9,9,9,9,9,9,9
830000,9,8,8,9,9,10,9,8,9,9,10,8,9,9,8,9,8,8,8,9,8,8,9,10,8,8,9,8,9,10,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,8,8,8,9,10
840000,8,9,9,9,8,8,9,9,8,9,8,8,9,9,9,9,8,9,10,8,8,8,9,8,9,9,11,8,8,9,9,9,8,9,9,9,8,8,8,8,8,8,9,8,9,8,9,9,9,10
850000,8,9,9,10,9,8,8,9,10,9,9,9,10,8,9,8,9,8,9,8,9,8,8,8,9,9,9,9,9,9,8,9,8,9,9,9,8,9,9,9,9,9,9,8,8,8,9,9,9,8
860000,9,9,8,8,8,8,9,10,9,8,9,9,9,8,10,10,9,8,9,9,9,8,9,8,8,8,8,8,9,8,8,8,10,9,9,8,8,8,8,8,8,9,8,9,8,9,8,8,8,9
870000,9,10,11,9,9,8,8,9,10,8,8,9,9,8,8,9,9,10,10,8,9,8,9,9,9,8,8,8,8,9,8,9,9,9,9,9,9,8,9,9,10,9,9,9,8,10,9,8,9,9
880000,9,8,8,9,9,9,11,9,9,9,8,9,9,9,9,9,9,10,8,9,9,8,9,8,9,8,9,8,8,8,9,9,9,8,8,8,8,8,8,9,9,9,9,9,10,9,8,8,10,9
890000,8,10,9,8,9,8,9,9,8,10,8,9,9,10,9,9,8,8,9,8,9,8,8,9,9,9,10,8,9,9,9,9,9,10,8,8,9,9,8,8,9,9,9,9,8,8,9,8,8,8
900000,8,9,8,10,9,9,9,9,9,9,9,8,9,9,8,9,9,9,9,9,9,8,9,9,9,10,8,8,9,8,9,9,9,9,9,9,9,10,9,9,9,8,9,10,9,9,9,9,9,9
910000,8,9,11,9,8,9,8,9,9,9,8,10,9,8,9,9,9,8,9,8,8,8,9,8,9,9,9,9,9,9,9,8,8,9,9,9,9,8,9,10,9,9,9,8,9,9,9,8,9,9
920000,8,8,9,8,9,10,9,9,8,8,8,9,9,8,9,8,9,8,9,10,10,10,9,9,9,9,9,11,10,9,9,8,11,9,9,8,9,9,9,10,8,9,9,8,9,9,9,9,9,9
930000,9,9,8,9,9,9,9,8,8,8,9,9,9,9,8,9,8,9,9,9,10,9,9,10,9,8,10,10,9,8,8,8,9,8,9,9,9,8,8,9,9,8,9,9,8,9,8,10,9,10
940000,9,9,10,8,9,9,9,8,9,10,9,9,9,8,8,10,8,9,8,9,8,10,9,8,8,9,9,9,9,8,8,9,9,8,9,10,9,9,8,10,8,9,9,9,9,9,8,9,8,8
950000,9,10,10,8,11,9,9,8,9,8,9,8,9,9,8,8,8,8,8,8,9,9,8,9,8,9,10,10,8,9,9,9,9,9,9,8,9,8,8,8,8,8,8,8,9,9,10,9,8,9
960000,9,10,10,9,9,8,9,8,9,9,8,10,10,8,8,8,8,10,8,9,8,8,9,9,10,8,9,9,10,8,9,9,10,9,8,9,9,8,8,10,8,9,8,9,9,9,9,8,8,9
970000,9,8,8,9,9,9,8,9,8,9,9,9,8,8,9,9,10,10,8,10,8,8,9,8,9,9,9,9,9,9,8,8,8,9,9,9,8,8,8,9,9,8,8,8,8,9,9,9,9,9
980000,9,8,9,8,9,8,8,8,9,9,8,8,9,9,8,10,9,9,8,8,8,8,8,10,9,9,9,9,8,8,9,9,9,9,8,9,8,9,9,8,9,9,9,9,9,9,9,9,9,8
990000,9,10,8,8,8,8,9,9,9,9,8,10,9,8,9,8,9,9,8,8,8,8,8,9,8,9,9,9,9,9,8,8,9,9,9,9,9,8,9,9,9,8,9,9,8,9,9,8,8,8
1000000,10,9,8,9,9,10,8,9,9,8,10,9,9,10,9,8,10,8,9,8,9,8,9,8,9,8,8,8,9,9,9,9,8,8,8,9,9,9,8,8,9,8,9,9,9,9,9,9,9,8
